date,asset_i,asset_j,corr,cluster_order_i,cluster_order_j
2025-12-30,VEA,DBC,0.29152921295708867,8,0
2025-12-30,VEA,EEM,0.7966864771057497,8,1
2025-12-30,VEA,GLD,0.30199370615908266,8,2
2025-12-30,VEA,IEF,0.12955615191457429,8,3
2025-12-30,VEA,LQD,0.37336440699941975,8,4
2025-12-30,VEA,SPY,0.8077364737792213,8,5
2025-12-30,VEA,TIP,0.2210739343090797,8,6
2025-12-30,VEA,TLT,0.09778762704575554,8,7
2025-12-30,VEA,VEA,1.0,8,8
2025-12-30,VEA,VNQ,0.6473680075056971,8,9
2025-12-30,VNQ,DBC,0.15413059123995107,9,0
2025-12-30,VNQ,EEM,0.47582250109068164,9,1
2025-12-30,VNQ,GLD,0.18592794495952145,9,2
2025-12-30,VNQ,IEF,0.2791236937840989,9,3
2025-12-30,VNQ,LQD,0.45824601434952356,9,4
2025-12-30,VNQ,SPY,0.6823884472160893,9,5
2025-12-30,VNQ,TIP,0.3231450432484497,9,6
2025-12-30,VNQ,TLT,0.25902105163604816,9,7
2025-12-30,VNQ,VEA,0.6473680075056971,9,8
2025-12-30,VNQ,VNQ,1.0,9,9
